department,job,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Directing,Director,5257307f760ee3776a340736,False,2,29009,Directing,Ken Kwapis,Ken Kwapis,1.305,,170132,1,2
Directing,Script Supervisor,5bdaa77ac3a368076500922c,False,1,1551338,Directing,Veda Semarne,Veda Semarne,0.6,,170132,1,2
Production,Unit Production Manager,5bdaa302c3a368078500877c,False,0,1230858,Production,Kent Zbornak,Kent Zbornak,0.98,,170132,1,2
Art,Set Decoration,5bdaa3990e0a2603b40089a6,False,0,2166017,Art,Steve Rostine,Steve Rostine,0.6,,170132,1,2
Writing,Staff Writer,5bdaa5f092514153fb008abb,False,1,125167,Acting,Mindy Kaling,Mindy Kaling,3.597,/xa8dwrTPaGc3PJ9GmT02ymJEX7l.jpg,170132,1,2
Camera,Key Grip,5bdaa7d90e0a2603c60086d9,False,0,1879373,Camera,Dale Alexander,Dale Alexander,0.6,,170132,1,2
Production,Production Designer,5bdaa2dec3a368077c008a4b,False,0,33562,Art,Donald Lee Harris,Donald Lee Harris,0.6,,170132,1,2
Costume & Make-Up,Costume Designer,5bdaa3650e0a2603bf008174,False,0,2166015,Costume & Make-Up,Carey Bennett,Carey Bennett,0.6,,170132,1,2
Camera,Director of Photography,5bdaa68f92514153f500859f,False,2,1215572,Directing,Randall Einhorn,Randall Einhorn,1.189,,170132,1,2
Costume & Make-Up,Key Hair Stylist,5bdaa74d0e0a2603b4008cbf,False,0,1664353,Costume & Make-Up,Cyndra Dunn,Cyndra Dunn,0.6,,170132,1,2
Production,Associate Producer,5bdaa1f09251415402008089,False,0,2166012,Production,Angie Hamilton,Angie Hamilton,0.6,,170132,1,2
Production,Co-Producer,5bdaa5d392514153f80081d5,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,170132,1,2
Production,Casting,5bdaa67a0e0a2603b1008f64,False,0,1621286,Production,Marla Garlin,Marla Garlin,1.38,/wpoJHUVHRR3ISNDrXw7MnMZqSAS.jpg,170132,1,2
Art,Property Master,5bdaa766c3a36807820082a8,False,2,1844757,Art,Philip D. Shea,Philip D. Shea,0.6,,170132,1,2
