job,department,credit_id,adult,gender,id,known_for_department,name,original_name,popularity,profile_path,episodeId,seasonNumber,episodeNumber
Writer,Writing,587bd8de9251413eec01207b,False,0,1230225,Writing,Daniel Schofield,Daniel Schofield,0.6,,1978272,4,9
Director,Directing,5e17def6ffd44d00125c9c50,False,1,1352983,Directing,Valeria Migliassi Collins,Valeria Migliassi Collins,0.84,,1978272,4,9
Writer,Writing,587bd820c3a368426e005e89,False,2,1267201,Writing,Matt Murray,Matt Murray,0.84,,1993068,4,10
Director,Directing,5bd25ced0e0a2616cf0012d1,False,0,1320713,Directing,Rebecca Asher,Rebecca Asher,0.6,,1993068,4,10
Writer,Writing,587bd914925141410100792d,False,1,1356008,Writing,Jen Statsky,Jen Statsky,0.6,,2043897,4,11
Director,Directing,5bd25ced0e0a2616cf0012d1,False,0,1320713,Directing,Rebecca Asher,Rebecca Asher,0.6,,2043897,4,11
Director,Directing,587bd80ec3a36849ff011370,False,2,1241313,Production,Morgan Sackett,Morgan Sackett,1.03,,2043898,4,12
Writer,Writing,587bd881c3a36846c300f7c6,False,1,1355653,Writing,Megan Amram,Megan Amram,1.019,/yk9aErnVjuAUZ25j45i05UrWzp5.jpg,2043898,4,12
Writer,Writing,58855dcec3a3684f3a0211a6,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,2043899,4,13
Director,Directing,58855dff92514125b100047f,False,2,1226308,Creator,Michael Schur,Michael Schur,2.206,/uFqjvTHNCfThf9ahEIYWFkszm9c.jpg,2043899,4,13
